address,symbol,decimals
0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,CK,18
0x6715515F5aA98e8Bd3624922E1Ba91e6f5fc4402,SSNC,18
0xB65A4597DDBbA5cDda3262c2c432BD05E1d30Ddc,CHIBA,9
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18
0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,6
0x12652C6d93FDB6F4f37d48A8687783C782BB0d10,NTGL,18
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6
0xF84A4AB89AC8b5b55d891795258Fe8b1aa420ccd,AZALEA,9
0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIB,18
0x0000000000A39bb272e79075ade125fd351887Ac,UNK,18
0x7777Cec341E7434126864195adEf9B05DCC3489C,ONI,18
0xEE2a03Aa6Dacf51C18679C516ad5283d8E7C2637,NEIRO,9
0xFD8b9Ba4845fB38c779317eC134b298C064937a2,9INCH,18
0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,HEX,8
0xc7bb03ddD9311fc0338bE013E7B523254092Fda9,n,18
0x015628Ce9150Db1bCE2FBb717A09E846F8a32436,BBC,18
0x15a7EdBbd8909358AE91a278b42d8ebF0CE9452e,XROOTAI,9
0xb94B99df2f790F78dBAE138755957B3789991332,100XT,18
0x6E483cBcCAa7D53E91b2f0cDe8C5723Dad2B2391,USDX,18
0xb10cc888cB2CcE7036F4c7ECAd8a57Da16161338,SWITCH,8
0x069F01CDD1E32D7BaB5fc81527df191835136C9D,APUGURL,9
0x626E8036dEB333b408Be468F951bdB42433cBF18,AIOZ,18
0xE57425F1598f9b0d6219706b77f4b3DA573a3695,BTCBR,18
0x94AAd11f1E7Ca2361156D6B0476A3B29B1836275,CHIB,18
0x63696Fc66795B51d02c1590b536484A41fbDDF9a,WELL,18
0x727116E19F7fC9862AA94F9c8DA8B33b43308Da9,KABOSU,18
0xF57e7e7C23978C3cAEC3C3548E3D615c346e79fF,IMX,18
0xaA8330FB2B4D5D07ABFE7A72262752a8505C6B37,POLC,18
0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,18
0x4c11249814f11b9346808179Cf06e71ac328c1b5,ORAI,18
0x77E06c9eCCf2E797fd462A92B6D7642EF85b0A44,wTAO,9
0x5283D291DBCF85356A21bA090E6db59121208b44,BLUR,18
0xE5AcBB03D73267c03349c76EaD672Ee4d941F499,WBEAM,8
0x9BE89D2a4cd102D8Fecc6BF9dA793be995C22541,BBTC,8
0x549020a9Cb845220D66d3E9c6D9F9eF61C981102,SIDUS,18
0x97A9a15168C22B3C137E6381037E1499C8ad0978,DOP,18
0x88909D489678dD17aA6D9609F89B0419Bf78FD9a,L3,18
0xD1B89856D82F978D049116eBA8b7F9Df2f342fF3,PEPO,9
0x917ceE801a67f933F2e6b33fC0cD1ED2d5909D88,weETHs,18
0x9e8f10574ACc2c62C6e5d19500CEd39163Da37A9,SY-weETHs,18
0x28cE264D0938C1051687FEbDCeFacc2242BA9E0E,YT-weETHs-29AUG2024,18
0xda6530EfaFD63A42d7b9a0a5a60A03839CDb813A,PT-weETHs-29AUG2024,18
0x73A15FeD60Bf67631dC6cd7Bc5B6e8da8190aCF5,USD0,18
0x35D8949372D46B7a3D5A56006AE77B215fc69bC0,USD0++,18
0xf3b9569F82B18aEf890De263B84189bd33EBe452,CAW,18
0x8e42FE26FC1697f57076C9f2A8d1FF69Cf7F6Fda,AGURI,9
0xec53bF9167f50cDEB3Ae105f56099aaaB9061F83,EIGEN,18
0x582d872A1B094FC48F5DE31D3B73F2D9bE47def1,TONCOIN,9
0x790814Cd782983FaB4d7B92CF155187a865d9F18,MATT,9
0x873259322BE8e50d80A4b868D186Cc5aB148543A,Ponzio,18
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,8
0xdF4435Ed22b88A4C0e5e264fCA85A607c3B27536,BETA,8
0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,MATIC,18
0x29f1f7650400Ea357d3376dA4BadE904119c28B8,STRBSE,18
0x7f792db54B0e580Cdc755178443f0430Cf799aCa,VOLT,9
0x88682B010a73AEb295c2a1bB0D6C39B96323779D,↺↺↺,18
0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,weETH,18
0x35fA164735182de50811E8e2E824cFb9B6118ac2,eETH,18
0xadd39272E83895E7d3f244f696B7a25635F34234,PEPU,18
0x7Fad1d5521Ed3E06823F542064e17b00030cdACB,$SHINJA,9
0x4fE83213D56308330EC302a8BD641f1d0113A4Cc,NU,18
0xCdF7028ceAB81fA0C6971208e83fa7872994beE5,T,18
0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3,ONDO,18
0xb131f4A55907B10d1F0A50d8ab8FA09EC342cd74,MEME,18
0xae78736Cd615f374D3085123A210448E74Fc6393,rETH,18
0xbDbE9F26918918Bd3F43a0219d54e5fDA9ce1BB3,MOLLY,9
0x2e7576042566f8D6990e07A1B61Ad1efd86Ae70d,variableDebtWETH,18
0xC71B5F631354BE6853eFe9C3Ab6b9590F8302e81,ZK,18
0xd05DFA1A533A8D63e5cD4D9D55cB20F85024fe63,MAMA,9
0x68AD75469DB9181a1144E769c16Adf47f2F32Cae,$MaxETH,18
0x23BbB1B8cC5756E4211c859bDC774F29461478C3,GXY,18
0x92D6C1e31e14520e676a687F0a93788B716BEff5,DYDX,18
0x1258D60B224c0C5cD888D37bbF31aa5FCFb7e870,GPU,18
0x590F820444fA3638e022776752c5eEF34E2F89A6,ALPH,18
0x38E68A37E401F7271568CecaAc63c6B1e19130B4,BANANA,18
0x514910771AF9Ca656af840dff83E8264EcF986CA,LINK,18
0xa47c8bf37f92aBed4A126BDA807A7b7498661acD,UST,18
0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,Mog,18
0xa2E3356610840701BDf5611a53974510Ae27E2e1,wBETH,18
0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,18
0xe53EC727dbDEB9E2d5456c3be40cFF031AB40A55,SUPER,18
0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,INJ,18
0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,stETH,18
0x7a4EffD87C2f3C55CA251080b1343b605f327E3a,rstETH,18
0x553cD5e6D2072723f5FE5457576Ed6D06b0905b2,SY-rstETH,18
0x19aA5B6e7499c0eC15f695cb5A20CD6993185993,YT-rstETH-26SEP2024,18
0xF4349323C990BB697F8755A51319142CBB209fd3,PT-rstETH-26SEP2024,18
0x8881562783028F5c1BCB985d2283D5E170D88888,SHFL,18
0x83E9115d334D248Ce39a6f36144aEaB5b3456e75,bEIGEN,18
0xf091867EC603A6628eD83D274E835539D82e9cc8,ZETA,18
0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,GHO,18
0x0000206329b97DB379d5E1Bf586BbDB969C63274,USDA,18
0x1a7e4e63778B4f12a199C062f3eFdD288afCBce8,EURA,18
0x3231Cb76718CDeF2155FC47b5286d82e6eDA273f,EURe,18
0xdF87F7DDc0FD96056F49Feb2559fa17E81c0126d,SWCH,18
0x0B9aE6b1D4f0EEeD904D1CEF68b9bd47499f3fFF,NATI,18
0x209e639a0EC166Ac7a1A4bA41968fa967dB30221,GU,18
0xF704d8d0e2E99E955c9F704c356dd3d3f8006e50,SON,9
0xD56a5db6fE0D2b24f89152492b2e0e1b661ecf2a,MIMOO,9
0x06450dEe7FD2Fb8E39061434BAbCFC05599a6Fb8,XEN,18
0xc00e94Cb662C3520282E6f5717214004A7f26888,COMP,18
0x1Cf763AE60891164bb0c6A04e63b373a76b16c02,NIQAB,18
0x8802269D1283cdB2a5a329649E5cB4CdcEE91ab6,FIGHT,9
0x6AA0E1910353aF11F1F21Eb5B2E4A0e9b0374d8A,PRODUCERS,18
0x1D72373852BBDAD6C5ed20176d112e0a3f336160,CCP,18
0x4d224452801ACEd8B2F0aebE155379bb5D594381,APE,18
0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6,STG,18
0xdD2F31DDeb5a3e9040f45B670eE2a62756c11DcD,USDT,18
0x0847d1fB2AdC3D1C19B233AFB7d01a631728A415,GRD,18
0xc944E90C64B2c07662A292be6244BDf05Cda44a7,GRT,18
0x72E95b8931767C79bA4EeE721354d6E99a61D004,variableDebtEthUSDC,6
0x560363BdA52BC6A44CA6C8c9B4a5FadbDa32fa60,SFUND,18
0x644192291cc835A93d6330b24EA5f5FEdD0eEF9e,NXRA,18
0xD8912C10681D8B21Fd3742244f44658dBA12264E,PLU,18
0xBE77212A6c7f55567470c2C95AFf7B0B0E0C3Ef5,Shiba 2.0,9
0xEeB4d8400AEefafC1B2953e0094134A887C76Bd8,AVAIL,18
0xE5A733681bbE6cd8c764Bb8078ef8E13a576Dd78,DPAY,18
0x6a159543abfC7Baf816Fdbc99EfD48E4EE7acc63,FUKU,9
0x431ad2ff6a9C365805eBaD47Ee021148d6f7DBe0,UNK,18
0x3B6564b5DA73A41d3A66e6558a98FD0e9E1e77ad,UTS,18
0xA0E752441024D632E13ac193B4d519E0C2e6508D,UNI-V2,18
0x6553565EaC5DAa9BfC5E2892B36291634c9B2ad6,RAKE,18
0x467719aD09025FcC6cF6F8311755809d45a5E5f3,AXL,6
0x32B053F2CBA79F80ada5078cb6b305da92BDe6e1,NEURAL,18
0xEb7b5294c79b0369315Ed7fE76b52d3108B0A62D,UNI-V2,18
0xA35923162C49cF95e6BF26623385eb431ad920D3,TURBO,18
0x608d054507D5B81212eE8c1e47F98E5fA770e77A,KAI,9
0xC17c30e98541188614dF99239cABD40280810cA3,RISE,18
0x1001271083C249bd771E1bb76C22D935809a61Ee,FUKU,9
0xBEEF69Ac7870777598A04B2bd4771c71212E6aBc,steakLRT,18
0x6De037ef9aD2725EB40118Bb1702EBb27e4Aeb24,RNDR,18
0xe591293151fFDadD5E06487087D9b0E2743de92E,MORSE,18
0x15b7c0c907e4C6b9AdaAaabC300C08991D6CEA05,GEL,18
0x100891Bf73ba8274C234Aa34621BC626ED6ECA8e,HACHI,9
0x25f8087EAD173b73D6e8B84329989A8eEA16CF73,YGG,18
0x347Af8252640b26887182F84CE3191549D3EAb41,MTD,18
0xB528edBef013aff855ac3c50b381f253aF13b997,AEVO,18
0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1,ARB,18
0x777b6d4730A8a890dc64bf202514CE03ab001c02,BARS,18
0x5fD13359Ba15A84B76f7F87568309040176167cd,amphrETH,18
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,18
0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429,GLM,18
0x000006fD692D20d2404a334c22A404af3b2DaaC6,DUCKY,9
0xc2eB40516Ecaac04aE9964934983D1E9EbDF51FD,99BTC,18
0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB,ALT,18
0xF96798F49936EfB1a56F99Ceae924b6B8359afFb,reALT,18
0xa4E009e698ED9d818Cf6efDe5897A950ef1e2Be5,SHIBE,9
0x155788DD4b3ccD955A5b2D461C7D6504F83f71fa,HARRIS,9
0x881f14BaBD5210c35821cD9AC8330D9344fF2D81,MILAN,9
0x4Fabb145d64652a948d72533023f6E7A623C7C53,BUSD,18
0x0e043e39E1F9382E4b3cB9B859a1452A93993bE7,SA,18
0x2cC774364eC2D4Cf53433c76Dad287b743B17441,Aguri,9
0x2a6E2835D0F2fb55a7ae6CBD71765eCB2D4343b1,IAM,18
0xCF078DA6e85389de507ceeDE0E3d217e457B9d49,SKAI,18
0x2fb652314C3d850E9049057bBE9813F1eEe882d3,RVF,18
0xF19308F923582A6f7c465e5CE7a9Dc1BEC6665B1,TITANX,18
0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,crvUSD,18
0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,USDe,18
0x236501327e701692a281934230AF0b6BE8Df3353,FLT,18
0xAE12C5930881c53715B369ceC7606B70d8EB229f,C98,18
0xdCa0D70C8948e84B792Ac356E57871d16CD26017,MEMES,9
0x4b7C762Af92dBD917d159Eb282B85aa13E955739,POODL,18
0xD1EC35BeFEA327d5edce52af7785a1B76bb2C9E9,DIE,9
0x8AB2ff0116A279a99950C66A12298962D152B83c,ORDS,18
0x38e4adB44ef08F22F5B5b76A8f0c2d0dCbE7DcA1,CVP,18
0xD478161C952357F05f0292B56012Cd8457F1cfbF,POLK,18
0x58b6A8A3302369DAEc383334672404Ee733aB239,LPT,18
0xCdC2cAB713251000AB5470f20d019F6Df4Aa1144,POTIONS,18
0x3D658390460295FB963f54dC0899cfb1c30776Df,Coval,8
0x081FAC886FDcacdC826C4135ED4BA5b65ecEcFb8,BSSC,18
0xEe2B9b7e168b5b2D40c507b891c7CfB13A6AaF2b,ZYGO,18
0x889edC2eDab5f40e902b864aD4d7AdE8E412F9B1,unstETH,18
0xBBc2AE13b23d715c30720F079fcd9B4a74093505,ERN,18
0xEA26c4aC16D4a5A106820BC8AEE85fd0b7b2b664,QKC,18
0xd166b7D9824cc5359360B47389AbA9341cE12619,PNX,9
0xff7c3964BBe9315732958e914Eb041CDD05F3C77,TSUJI,9
0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0,TRB,18
0x420b879b0d18cc182E7E82AD16a13877C3A88420,BUD,9
0x00000000BdC126A7d8D0A6D3844843959FfFa423,fpDGOD,18
0x00000000b8939D68f3dB6c1FB91B37544F3c0b1B,fpDGOD,18
0x8821BeE2ba0dF28761AffF119D66390D594CD280,DEGODS,18
0x3fD00038bfD3Eb22f51118468C9d43C1EB7210F3,RIN,9
0xCCcabbE13f5a9c0fAd8F1A922E08d8246f2Dd9A5,NEILUO,9
0xAE5099C39f023C91d3dd55244CAFB36225B0850E,PT-sUSDE-24OCT2024,18
0xb9dad3693AEAc9025Cb24a47AFA6930539877187,lov-PT-sUSDe-Oct2024-a,18
0xfefe157c9d0aE025213092ff9a5cB56ab492BaB8,FEFE,9
0xFe0c30065B384F05761f15d0CC899D4F9F9Cc0eB,ETHFI,18
0x67466BE17df832165F8C80a5A120CCc652bD7E69,WOLF,18
0x75CE16D11B83605aa039D40d7d846ff23064Fb65,DUB,9
0x1B4d88f5f38988BEA334C79f48aa69BEEeFE2e1e,KrswETH,18
0xa6422E3E219ee6d4C1B18895275FE43556fd50eD,STBU,18
0x7223442cad8e9cA474fC40109ab981608F8c4273,weETHk,18
0xFE8526A77A2c3590E5973bA81308B90BEA21FBFF,WAI,18
0x7613C48E0cd50E42dD9Bf0f6c235063145f6f8DC,PIRATE,18
0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee,Neiro,9
0x9EBb0895bD9C7C9dFAB0d8d877c66bA613Ac98Ea,MAGAA,18
0x0a2C375553e6965b42C135bb8B15a8914B08de0c,FROG,9
0x80B845C860c137d4396455AC0Cc6d44D2cd02E9e,KAMALA,18
0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,18
0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,CVX,18
0x111111111117dC0aa78b770fA6A738034120C302,1INCH,18
0xAeE9bA9CE49fe810417A36408e34D9962b653E78,SNIBBU,9
0x777BE1c6075c20184C4fd76344b7b0B7c858fe6B,BAR,18
0x8248270620Aa532E4d64316017bE5E873E37cc09,DEVVE,18
0xb2617246d0c6c0087f18703d576831899ca94f01,ZIG,18
0x6E2a43be0B1d33b726f0CA3b8de60b3482b8b050,ARKM,18
0x15700B564Ca08D9439C58cA5053166E8317aa138,deUSD,18
0x5C5b196aBE0d54485975D1Ec29617D42D9198326,sdeUSD,18
0xa4500d1E71Acf3975ae95BE0fFd188aAEB6142C2,KABOSU,18
0x16ECCfDbb4eE1A85A33f3A9B21175Cd7Ae753dB4,ROUTE,18
0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,FET,18
0x2255daE0D573fc1d532336772381264a417D281C,PEPE,9
0x974D796E0Bea47038f39C3F98b1aA2c5240b5495,EAVE,18
0x7f911119435D8dED9F018194B4b6661331379a3d,FWOG,18
0xD9A442856C234a39a81a089C06451EBAa4306a72,pufETH,18
0x03Be5C903c727Ee2C8C4e9bc0AcC860Cca4715e2,CAPS,18
0x8C19f7854b27758DDFfdcDC8908F22BF55e00736,YIELD,18
0x6942040b6d25D6207E98f8E26C6101755D67Ac89,MELLOW,9
0x8eea6cc08D824B20Efb3bf7C248de694cb1f75F4,VPS,18
0x30a4aa1d14D44f0f5BFe887447AB6FAcc94A549F,cbwsETH,18
0xa250CC729Bb3323e7933022a67B52200fE354767,fwWETH,18
0x76107daca41C995E9d94AF27314818Bc99CBdc80,fwZRX,18
0xE41d2489571d322189246DaFA5ebDe1F4699F498,ZRX,18
0x12996C7B23c4012149bf9F5663FF9Aa08A9cF2E4,WSH,18
0x8fc17671D853341D9e8B001F5Fc3C892d09CB53A,BLOCK,18
0xc8bf8bC34874E07f6A0d4aBc8be22ba9E372631b,SWGT,8
0x26EbB8213fb8D66156F1Af8908d43f7e3e367C1d,RETIK,18
0x2d886570A0dA04885bfD6eb48eD8b8ff01A0eb7e,BCB,9
0x923607A06aA8F1c525a5bb2d921CF85E625bE776,TCRV,18
0xBB0E17EF65F82Ab018d8EDd776e8DD940327B28b,AXS,18
0x767FE9EDC9E0dF98E07454847909b5E959D7ca0E,ILV,18
0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26,OGN,18
0x1a76bfFD6D1FC1660e1d0E0552Fde51ddbB120CF,RST,18
0x698ba479bcCE123ed44B510c8E1C8Be80fc97461,$HACHI,10
0x5520A65c6014bdcBAE2d50cD7fAdD9e14E85Bf66,MOONM,18
0x0425e5Bf7F52591a04Fbe24C454ac004179C4318,ALLBI,18
0x6B417828051328caef5B4e0BfE8325962Ec8fB17,SBS,18
0xB8A914A00664e9361eaE187468EfF94905dfbC15,DRIP,9
0x760BcC590B18AA90a11c4E1DA468faD3236dC76d,RPP,18
0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,PYUSD,6
0xB0fFa8000886e57F86dd5264b9582b2Ad87b2b91,W,18
0x636bd98fC13908e475F56d8a38a6e03616Ec5563,WAT,18
0x31C4f6A7b6351B89F16278a5Ceb6AbcE5381Cb4f,GINNAN,9
0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,BIT,18
0xed1167b6Dc64E8a366DB86F2E952A482D0981ebd,LBR,18
0x14FE42c10e43E4a41A62CC6cff223fbC97071c3D,AOBA,9
0x6982508145454Ce325dDbE47a25d4ec3d2311933,PEPE,18
0x579CEa1889991f68aCc35Ff5c3dd0621fF29b0C9,IQ,18
0x32b86b99441480a7E5BD3A26c124ec2373e3F015,BAD,18
0xDe30da39c46104798bB5aA3fe8B9e0e1F348163F,GTC,18
0xD7B2C1a7F3c67fB0EA57a7ef29bC1F18D7bE3195,vMINT,18
0xb58E26ac9cc14c0422C2b419b0CA555Ee4DcB7CB,Niza,9
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,AAVE,18
0x25931894a86D47441213199621F1F2994e1c39Aa,CGPT,18
0xd32CB5f76989A27782e44c5297AAba728Ad61669,HyPCL,18
0x836B4d9C0F01275A28085AceF53AC30460f58242,CNPR,18
0x9c354503C38481a7A7a51629142963F98eCC12D0,OGV,18
0xF68DF06AC6A44334a970c4cDd9c107E985ccCD34,POCHI,9
0x1294f4183763743c7c9519Bec51773fb3aCD78FD,FI,18
0xeA7B7DC089c9a4A916B5a7a37617f59fD54e37E4,HyPC,6
0xe2512A2f19F0388aD3D7A5263eaA82AcD564827b,SHIDO,18
0xac5B038058bcD0424C9c252c6487C25F032E5dDc,AIEPK,18
0x967B0c95295ead8fAef70d26A7846AeCD349AAFf,$HACHI,18
0xD31a59c85aE9D8edEFeC411D448f90841571b89c,SOL,9
0x4b9278b94a1112cAD404048903b8d343a810B07e,UNK,18
0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,JASMY,18
0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,NEAR,24
0xB8A4350eDaFD7af34164Dd5870e49E28393FF3ec,MMTR,18
0x576e2BeD8F7b46D34016198911Cdf9886f78bea7,TRUMP,9
0x614Da3b37B6F66F7Ce69B4Bbbcf9a55CE6168707,MMX,18
0xbAbE3ce7835665464228dF00B03246115C30730A,BABYNEIRO,9
0x5BB15141bb6DeF6d2BafeED8ff84BF889c0C573B,LVM,18
0x5A713B087519fBc56E6262FA77943d77Ae3Da7EE,UNI-V2,18
0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE,18
0xA0Ef786Bf476fE0810408CaBA05E536aC800ff86,MYRIA,18
0x6081d7F04a8c31e929f25152d4ad37c83638C62b,FLT-DROP,18
0x40e9187078032AfE1a30cfcF76E4fe3D7aB5c6C5,AIX,18
0x6aA56e1D98b3805921C170EB4B3fe7D4Fda6D89b,TRUMP,9
0x4AC429A7cdf2b533E2c0cFF1b017F2c344E864e2,PLSX,18
0xC36983d3D9d379dDFB306DFB919099cB6730e355,COLLE,18
0x63b4f3e3fa4e438698CE330e365E831F7cCD1eF4,CFi,18
0x808507121B80c02388fAd14726482e061B8da827,PENDLE,18
0x00b321D89A8C36B3929f20B7955080baeD706D1B,PENDLE-LPT,18
0xB2a6aB0bCa57871a93F0B9FB709238034b178509,PT-USD0++-31OCT2024-PRT,18
0xB333f60EbAdB65f62e464f3F343B960b623cbee4,BURN,18
0x0BEE91533Be2EDE0936Ea53457Ce7bd9b0B398c6,SBI,9
0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490,3Crv,18
0xb3999F658C0391d94A37f7FF328F3feC942BcADC,HFT,18
0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,LDO,18
0x40a9A694197A0b4B92f2aAd48Da6bC1b6Ff194e9,@LFG,18
0x8191DC3053Fe4564c17694cB203663d3C07B8960,USDe,18
0x292fcDD1B104DE5A00250fEBbA9bC6A5092A0076,HashAI,18
0xF1268733C6FB05EF6bE9cF23d24436Dcd6E0B35E,DAW,18
